epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,17938.4,1.57444,1.01595,1.16817,0.74324,0.86281,0.82446,0.54933,1.01993,2.53482,0.9603,0.000167125,0.000167125,0.000167125
76,18171.1,1.57207,1.02143,1.18569,0.74469,0.8382,0.81932,0.5349,1.07971,2.89392,0.96884,0.000160938,0.000160938,0.000160938
77,18919.5,1.58576,1.04426,1.19167,0.71878,0.85564,0.82455,0.55219,1.05954,2.52773,0.9683,0.00015475,0.00015475,0.00015475
78,19619.7,1.57736,1.01573,1.16867,0.70955,0.86323,0.82439,0.54238,1.01686,2.54299,0.95687,0.000148563,0.000148563,0.000148563
79,19991.4,1.56435,1.00793,1.18984,0.74305,0.86947,0.80798,0.52683,1.02519,2.67389,0.95748,0.000142375,0.000142375,0.000142375
80,21069.8,1.57927,1.04005,1.17363,0.70925,0.86546,0.83468,0.55112,1.02227,2.62417,0.95563,0.000136187,0.000136187,0.000136187
81,21356.8,1.55526,1.00292,1.17752,0.72423,0.86978,0.83025,0.55239,1.03645,2.2742,0.96167,0.00013,0.00013,0.00013
82,21627.4,1.58565,1.01146,1.16123,0.70302,0.8668,0.82703,0.56449,1.00012,2.50922,0.95315,0.000123812,0.000123812,0.000123812
83,21932.3,1.59368,1.01698,1.15236,0.69879,0.84729,0.82375,0.54514,1.05171,2.45721,0.96533,0.000117625,0.000117625,0.000117625
84,22178.4,1.56079,1.00523,1.16199,0.7588,0.84025,0.81281,0.53917,1.01871,2.72149,0.95508,0.000111438,0.000111438,0.000111438
85,22476.6,1.55695,1.00819,1.16842,0.71866,0.84678,0.81226,0.55128,1.00988,2.53011,0.95206,0.00010525,0.00010525,0.00010525
86,22769.4,1.56811,0.99888,1.16214,0.72162,0.8622,0.82396,0.55343,1.02958,2.47761,0.95883,9.90625e-05,9.90625e-05,9.90625e-05
87,23205.2,1.58472,0.99409,1.16683,0.71793,0.8773,0.8339,0.56046,1.00794,2.54903,0.95002,9.2875e-05,9.2875e-05,9.2875e-05
88,23500.7,1.57729,0.99215,1.16715,0.69538,0.87653,0.80895,0.54015,0.99953,2.60767,0.95023,8.66875e-05,8.66875e-05,8.66875e-05
89,23779,1.57021,1.0151,1.16579,0.71484,0.85386,0.81621,0.54742,0.99985,2.69218,0.95167,8.05e-05,8.05e-05,8.05e-05
90,23997.7,1.57055,0.98821,1.16562,0.74221,0.87388,0.83869,0.55775,1.01586,2.54913,0.953,7.43125e-05,7.43125e-05,7.43125e-05
91,24244.1,1.52713,0.94574,1.21942,0.7675,0.86788,0.82076,0.54467,1.03235,2.66218,0.95864,6.8125e-05,6.8125e-05,6.8125e-05
92,24505.4,1.5134,0.90865,1.21794,0.76219,0.85711,0.82399,0.54543,1.02623,2.48521,0.95975,6.19375e-05,6.19375e-05,6.19375e-05
93,24869.8,1.49745,0.88337,1.253,0.7684,0.84987,0.82876,0.54682,1.03014,2.49287,0.95883,5.575e-05,5.575e-05,5.575e-05
94,25060.3,1.50328,0.89699,1.21284,0.76148,0.8466,0.81668,0.52721,1.02651,2.49316,0.95543,4.95625e-05,4.95625e-05,4.95625e-05
95,25320.4,1.50128,0.90025,1.22691,0.76125,0.8622,0.83866,0.54722,1.02997,2.33687,0.95828,4.3375e-05,4.3375e-05,4.3375e-05
96,25520.7,1.5015,0.90381,1.20503,0.77869,0.85052,0.85041,0.55431,1.02156,2.30809,0.95636,3.71875e-05,3.71875e-05,3.71875e-05
97,25923.2,1.51065,0.88955,1.23307,0.74795,0.88054,0.8346,0.54748,0.99225,2.28105,0.94614,3.1e-05,3.1e-05,3.1e-05
98,26413.8,1.51171,0.89196,1.20618,0.77444,0.86985,0.83748,0.5474,1.00058,2.38281,0.94976,2.48125e-05,2.48125e-05,2.48125e-05
99,26685.4,1.50355,0.87642,1.21703,0.76006,0.87282,0.82581,0.551,1.00924,2.48856,0.95059,1.8625e-05,1.8625e-05,1.8625e-05
100,26926.3,1.51792,0.88918,1.21852,0.75017,0.87814,0.8314,0.54599,1.00526,2.3948,0.95054,1.24375e-05,1.24375e-05,1.24375e-05
